height,radii list,wavelength,transmission,reflection
10.0,"[1.215, 1.215, 1.215, 1.095]",3.0,0.7794715637882227,0.2205284362117732
10.0,"[1.215, 1.215, 1.215, 1.095]",3.051282051282051,0.8052762114897524,0.19472378851024538
10.0,"[1.215, 1.215, 1.215, 1.095]",3.1025641025641026,0.7986319999187461,0.20136800008125055
10.0,"[1.215, 1.215, 1.215, 1.095]",3.1538461538461537,0.7683212845229942,0.23167871547701696
10.0,"[1.215, 1.215, 1.215, 1.095]",3.2051282051282053,0.7311385117868281,0.2688614882131593
10.0,"[1.215, 1.215, 1.215, 1.095]",3.2564102564102564,0.707606256497819,0.29239374350218195
10.0,"[1.215, 1.215, 1.215, 1.095]",3.3076923076923075,0.7048880012826819,0.29511199871729
10.0,"[1.215, 1.215, 1.215, 1.095]",3.358974358974359,0.7221828083482351,0.2778171916517647
10.0,"[1.215, 1.215, 1.215, 1.095]",3.41025641025641,0.7525651797710639,0.24743482022895383
10.0,"[1.215, 1.215, 1.215, 1.095]",3.4615384615384617,0.7843017953755715,0.21569820462442618
10.0,"[1.215, 1.215, 1.215, 1.095]",3.5128205128205128,0.8042037458728699,0.19579625412713028
10.0,"[1.215, 1.215, 1.215, 1.095]",3.564102564102564,0.8041276019256871,0.19587239807430418
10.0,"[1.215, 1.215, 1.215, 1.095]",3.6153846153846154,0.7856677129182282,0.21433228708177254
10.0,"[1.215, 1.215, 1.215, 1.095]",3.6666666666666665,0.7578449641305922,0.2421550358694043
10.0,"[1.215, 1.215, 1.215, 1.095]",3.717948717948718,0.730800494270249,0.26919950572975226
10.0,"[1.215, 1.215, 1.215, 1.095]",3.769230769230769,0.7116205936985545,0.2883794063014364
10.0,"[1.215, 1.215, 1.215, 1.095]",3.8205128205128203,0.7037228029096088,0.29627719709039163
10.0,"[1.215, 1.215, 1.215, 1.095]",3.871794871794872,0.7072867111209614,0.2927132888790379
10.0,"[1.215, 1.215, 1.215, 1.095]",3.923076923076923,0.7210379619882946,0.27896203801170666
10.0,"[1.215, 1.215, 1.215, 1.095]",3.9743589743589745,0.7418603900276389,0.2581396099723727
10.0,"[1.215, 1.215, 1.215, 1.095]",4.0256410256410255,0.7654105292824647,0.23458947071753758
10.0,"[1.215, 1.215, 1.215, 1.095]",4.076923076923077,0.7866121162966051,0.21338788370338796
10.0,"[1.215, 1.215, 1.215, 1.095]",4.128205128205128,0.8007085571548023,0.19929144284520606
10.0,"[1.215, 1.215, 1.215, 1.095]",4.17948717948718,0.8046490148514813,0.19535098514851562
10.0,"[1.215, 1.215, 1.215, 1.095]",4.230769230769231,0.7981634564892142,0.2018365435107845
10.0,"[1.215, 1.215, 1.215, 1.095]",4.282051282051282,0.7835134692897417,0.2164865307102602
10.0,"[1.215, 1.215, 1.215, 1.095]",4.333333333333333,0.7643132750025435,0.23568672499746218
10.0,"[1.215, 1.215, 1.215, 1.095]",4.384615384615385,0.7443164143992693,0.2556835856007311
10.0,"[1.215, 1.215, 1.215, 1.095]",4.435897435897436,0.7265505071931483,0.2734494928068559
10.0,"[1.215, 1.215, 1.215, 1.095]",4.487179487179487,0.7130340208789966,0.286965979121003
10.0,"[1.215, 1.215, 1.215, 1.095]",4.538461538461538,0.7048521750679182,0.29514782493208136
10.0,"[1.215, 1.215, 1.215, 1.095]",4.589743589743589,0.7023638663579526,0.2976361336420472
10.0,"[1.215, 1.215, 1.215, 1.095]",4.6410256410256405,0.7053911047512543,0.2946088952487446
10.0,"[1.215, 1.215, 1.215, 1.095]",4.6923076923076925,0.7133458345278832,0.2866541654721189
10.0,"[1.215, 1.215, 1.215, 1.095]",4.743589743589744,0.7252788828922391,0.2747211171077583
10.0,"[1.215, 1.215, 1.215, 1.095]",4.794871794871795,0.7399385705743713,0.2600614294256268
10.0,"[1.215, 1.215, 1.215, 1.095]",4.846153846153846,0.7558454060310807,0.24415459396892944
10.0,"[1.215, 1.215, 1.215, 1.095]",4.897435897435898,0.7713913231941203,0.22860867680587835
10.0,"[1.215, 1.215, 1.215, 1.095]",4.948717948717949,0.7849867037406018,0.21501329625939905
10.0,"[1.215, 1.215, 1.215, 1.095]",5.0,0.7952514856986398,0.20474851430136662
