height,radii list,wavelength,transmission,reflection,fitness
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",3.0,0.7064335472937054,0.29356645270628373,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",3.051282051282051,0.7074136099148992,0.2925863900851231,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",3.1025641025641026,0.7094245723385765,0.290575427660614,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",3.1538461538461537,0.7123256006821095,0.2876743993179995,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",3.2051282051282053,0.715950542918237,0.28404945708181206,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",3.2564102564102564,0.7201152275056086,0.27988477249447796,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",3.3076923076923075,0.7246262392195831,0.2753737607804104,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",3.358974358974359,0.7292908068017513,0.2707091931981922,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",3.41025641025641,0.7339269654190075,0.2660730345809849,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",3.4615384615384617,0.7383728709391963,0.2616271290606715,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",3.5128205128205128,0.7424945510791257,0.2575054489208605,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",3.564102564102564,0.7461915872224557,0.25380841277755173,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",3.6153846153846154,0.7494021048926061,0.2505978951074161,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",3.6666666666666665,0.7521113903726369,0.24788860962736317,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",3.717948717948718,0.7543805349115182,0.2456194650884845,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",3.769230769230769,0.756509616497348,0.2434903835026313,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",3.8205128205128203,0.7628543524258864,0.2371456475743017,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",3.871794871794872,0.7587708198880987,0.24122918011189978,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",3.923076923076923,0.7571930844458556,0.24280691555414016,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",3.9743589743589745,0.7557186457985224,0.2442813542014674,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",4.0256410256410255,0.7542103481426282,0.24578965185737073,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",4.076923076923077,0.7525315707720011,0.24746842922800072,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",4.128205128205128,0.7506460476838772,0.2493539523160959,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",4.17948717948718,0.7485675665308807,0.2514324334690492,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",4.230769230769231,0.7463276938286428,0.2536723061713543,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",4.282051282051282,0.7439623572495483,0.25603764275045143,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",4.333333333333333,0.7415068019465202,0.2584931980534801,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",4.384615384615385,0.7389931261344239,0.26100687386557947,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",4.435897435897436,0.7364509232014419,0.26354907679856,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",4.487179487179487,0.7339046144547182,0.26609538554498263,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",4.538461538461538,0.7313759817310678,0.2686240182689311,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",4.589743589743589,0.7288833934661078,0.2711166065339512,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",4.6410256410256405,0.7264408463694499,0.27355915363069355,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",4.6923076923076925,0.7240593727506516,0.27594062724933965,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",4.743589743589744,0.7217469699594284,0.2782530300405508,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",4.794871794871795,0.719508756744302,0.2804912432556977,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",4.846153846153846,0.7173471492656958,0.2826528507343022,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",4.897435897435898,0.7152620116307569,0.28473798836924297,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",4.948717948717949,0.7132508121343639,0.2867491878656328,44.86
2.71045,"[0.69381, 0.22377, 1.215, 0.135]",5.0,0.7113088217602059,0.28869117823975826,44.86
2.49514,"[0.82269, 0.3401, 1.215, 0.135]",3.0,0.7209810219667411,0.27901897803327247,44.86
2.49514,"[0.82269, 0.3401, 1.215, 0.135]",3.051282051282051,0.7258561342513302,0.2741438657487776,44.86
2.49514,"[0.82269, 0.3401, 1.215, 0.135]",3.1025641025641026,0.7310009984003512,0.26899900159964346,44.86
2.49514,"[0.82269, 0.3401, 1.215, 0.135]",3.1538461538461537,0.736183481970201,0.26381651802976497,44.86
2.49514,"[0.82269, 0.3401, 1.215, 0.135]",3.2051282051282053,0.7411957837483957,0.25880421625160543,44.86
2.49514,"[0.82269, 0.3401, 1.215, 0.135]",3.2564102564102564,0.7458571546201637,0.2541428453798369,44.86
2.49514,"[0.82269, 0.3401, 1.215, 0.135]",3.3076923076923075,0.7500196915588658,0.24998030844116081,44.86
