height,radii list,wavelength,transmission,reflection
9.0,"[0.975, 0.855, 0.135, 0.375]",3.0,0.7423534302418631,0.2576465697581322
9.0,"[0.975, 0.855, 0.135, 0.375]",3.051282051282051,0.7331382282494655,0.2668617717509502
9.0,"[0.975, 0.855, 0.135, 0.375]",3.1025641025641026,0.7213808673035815,0.2786191326964164
9.0,"[0.975, 0.855, 0.135, 0.375]",3.1538461538461537,0.7122211639064492,0.2877788360935498
9.0,"[0.975, 0.855, 0.135, 0.375]",3.2051282051282053,0.7082667533636902,0.291733246636248
9.0,"[0.975, 0.855, 0.135, 0.375]",3.2564102564102564,0.7101517388603117,0.28984826113968903
9.0,"[0.975, 0.855, 0.135, 0.375]",3.3076923076923075,0.7170357636950775,0.282964236304925
9.0,"[0.975, 0.855, 0.135, 0.375]",3.358974358974359,0.7268120536495949,0.2731879463504328
9.0,"[0.975, 0.855, 0.135, 0.375]",3.41025641025641,0.7364749392448456,0.2635250607551537
9.0,"[0.975, 0.855, 0.135, 0.375]",3.4615384615384617,0.7428636260326549,0.25713637396733346
9.0,"[0.975, 0.855, 0.135, 0.375]",3.5128205128205128,0.7439110819458289,0.256088918054172
9.0,"[0.975, 0.855, 0.135, 0.375]",3.564102564102564,0.739602812197183,0.26039718780281773
9.0,"[0.975, 0.855, 0.135, 0.375]",3.6153846153846154,0.7317562044683461,0.2682437955316523
9.0,"[0.975, 0.855, 0.135, 0.375]",3.6666666666666665,0.7225584282912526,0.27744157170875244
9.0,"[0.975, 0.855, 0.135, 0.375]",3.717948717948718,0.7136089188097379,0.2863910811902588
9.0,"[0.975, 0.855, 0.135, 0.375]",3.769230769230769,0.7062093893205741,0.29379061067942824
9.0,"[0.975, 0.855, 0.135, 0.375]",3.8205128205128203,0.7030228279154883,0.2969771720844643
9.0,"[0.975, 0.855, 0.135, 0.375]",3.871794871794872,0.7003920487105981,0.29960795128939766
9.0,"[0.975, 0.855, 0.135, 0.375]",3.923076923076923,0.7029894477756025,0.29701055222439615
9.0,"[0.975, 0.855, 0.135, 0.375]",3.9743589743589745,0.7100312049270313,0.28996879507296935
9.0,"[0.975, 0.855, 0.135, 0.375]",4.0256410256410255,0.7186731809760054,0.28132681902399326
9.0,"[0.975, 0.855, 0.135, 0.375]",4.076923076923077,0.728483613703352,0.27151638629664676
9.0,"[0.975, 0.855, 0.135, 0.375]",4.128205128205128,0.7370039892358392,0.2629960107641648
9.0,"[0.975, 0.855, 0.135, 0.375]",4.17948717948718,0.7427616340481565,0.25723836595205124
9.0,"[0.975, 0.855, 0.135, 0.375]",4.230769230769231,0.7450949398186472,0.25490506018135106
9.0,"[0.975, 0.855, 0.135, 0.375]",4.282051282051282,0.7440066006299946,0.25599339936995974
9.0,"[0.975, 0.855, 0.135, 0.375]",4.333333333333333,0.7398942416978264,0.2601057583021745
9.0,"[0.975, 0.855, 0.135, 0.375]",4.384615384615385,0.7333502401417328,0.26664975985781036
9.0,"[0.975, 0.855, 0.135, 0.375]",4.435897435897436,0.7250880574257383,0.27491194257425633
9.0,"[0.975, 0.855, 0.135, 0.375]",4.487179487179487,0.715975806089498,0.28402419391049916
9.0,"[0.975, 0.855, 0.135, 0.375]",4.538461538461538,0.7071095211321922,0.29289047886780445
9.0,"[0.975, 0.855, 0.135, 0.375]",4.589743589743589,0.699780241284846,0.30021975871515083
9.0,"[0.975, 0.855, 0.135, 0.375]",4.6410256410256405,0.6951618026461679,0.3048381973538387
9.0,"[0.975, 0.855, 0.135, 0.375]",4.6923076923076925,0.6937875098919937,0.306212490108008
9.0,"[0.975, 0.855, 0.135, 0.375]",4.743589743589744,0.6952693077316391,0.3047306922682063
9.0,"[0.975, 0.855, 0.135, 0.375]",4.794871794871795,0.6985974983660548,0.3014025016338207
9.0,"[0.975, 0.855, 0.135, 0.375]",4.846153846153846,0.7027152148613989,0.2972847851385962
9.0,"[0.975, 0.855, 0.135, 0.375]",4.897435897435898,0.7068701246697978,0.29312987533019935
9.0,"[0.975, 0.855, 0.135, 0.375]",4.948717948717949,0.7106422687200173,0.2893577312799838
9.0,"[0.975, 0.855, 0.135, 0.375]",5.0,0.7138260696512949,0.2861739303487017
