height,radii list,wavelength,transmission,reflection
1.0,"[1.215, 0.495, 0.135, 0.375]",3.0,0.71752619963309,0.28247380036687286
1.0,"[1.215, 0.495, 0.135, 0.375]",3.051282051282051,0.7189364258386763,0.28106357416130884
1.0,"[1.215, 0.495, 0.135, 0.375]",3.1025641025641026,0.7203341266975093,0.2796658733024998
1.0,"[1.215, 0.495, 0.135, 0.375]",3.1538461538461537,0.7217110346782202,0.2782889653217803
1.0,"[1.215, 0.495, 0.135, 0.375]",3.2051282051282053,0.723059701371035,0.276940298628962
1.0,"[1.215, 0.495, 0.135, 0.375]",3.2564102564102564,0.7243737797351817,0.2756262202648193
1.0,"[1.215, 0.495, 0.135, 0.375]",3.3076923076923075,0.7256481486735286,0.274351851326464
1.0,"[1.215, 0.495, 0.135, 0.375]",3.358974358974359,0.726878980718031,0.27312101928196936
1.0,"[1.215, 0.495, 0.135, 0.375]",3.41025641025641,0.7280638155103782,0.271936184489625
1.0,"[1.215, 0.495, 0.135, 0.375]",3.4615384615384617,0.7292016231237236,0.2707983768760904
1.0,"[1.215, 0.495, 0.135, 0.375]",3.5128205128205128,0.7302933398697246,0.2697066601296938
1.0,"[1.215, 0.495, 0.135, 0.375]",3.564102564102564,0.7313421630367772,0.26865783696321
1.0,"[1.215, 0.495, 0.135, 0.375]",3.6153846153846154,0.7323550366302514,0.26764496336974125
1.0,"[1.215, 0.495, 0.135, 0.375]",3.6666666666666665,0.7333460351322522,0.26665396486772647
1.0,"[1.215, 0.495, 0.135, 0.375]",3.717948717948718,0.7343464319067524,0.2656535680932482
1.0,"[1.215, 0.495, 0.135, 0.375]",3.769230769230769,0.735452675009126,0.26454732499087974
1.0,"[1.215, 0.495, 0.135, 0.375]",3.8205128205128203,0.7377145737928256,0.2622854262071793
1.0,"[1.215, 0.495, 0.135, 0.375]",3.871794871794872,0.737341697724626,0.26265830227537784
1.0,"[1.215, 0.495, 0.135, 0.375]",3.923076923076923,0.7375458425441189,0.2624541574558727
1.0,"[1.215, 0.495, 0.135, 0.375]",3.9743589743589745,0.7377626777343159,0.2622373222656819
1.0,"[1.215, 0.495, 0.135, 0.375]",4.0256410256410255,0.7379473805875256,0.26205261941247454
1.0,"[1.215, 0.495, 0.135, 0.375]",4.076923076923077,0.7380952061373438,0.26190479386261933
1.0,"[1.215, 0.495, 0.135, 0.375]",4.128205128205128,0.7382077122586823,0.2617922877413256
1.0,"[1.215, 0.495, 0.135, 0.375]",4.17948717948718,0.7382871670412916,0.2617128329584943
1.0,"[1.215, 0.495, 0.135, 0.375]",4.230769230769231,0.7383360734282283,0.2616639265717747
1.0,"[1.215, 0.495, 0.135, 0.375]",4.282051282051282,0.7383564146280873,0.26164358537190996
1.0,"[1.215, 0.495, 0.135, 0.375]",4.333333333333333,0.7383500964098831,0.2616499035898044
1.0,"[1.215, 0.495, 0.135, 0.375]",4.384615384615385,0.7383186766987102,0.2616813233013823
1.0,"[1.215, 0.495, 0.135, 0.375]",4.435897435897436,0.738264282859612,0.2617357171403879
1.0,"[1.215, 0.495, 0.135, 0.375]",4.487179487179487,0.7381880344849787,0.2618119655152063
1.0,"[1.215, 0.495, 0.135, 0.375]",4.538461538461538,0.7380914995175426,0.2619085004824195
1.0,"[1.215, 0.495, 0.135, 0.375]",4.589743589743589,0.7379772739495046,0.2620227260505156
1.0,"[1.215, 0.495, 0.135, 0.375]",4.6410256410256405,0.7378466054415109,0.2621533945578592
1.0,"[1.215, 0.495, 0.135, 0.375]",4.6923076923076925,0.7377010241477238,0.2622989758522785
1.0,"[1.215, 0.495, 0.135, 0.375]",4.743589743589744,0.7375420529389213,0.2624579470610776
1.0,"[1.215, 0.495, 0.135, 0.375]",4.794871794871795,0.7373712312664087,0.26262876873359203
1.0,"[1.215, 0.495, 0.135, 0.375]",4.846153846153846,0.7371901272135355,0.26280987278646395
1.0,"[1.215, 0.495, 0.135, 0.375]",4.897435897435898,0.7370003624251905,0.2629996375749141
1.0,"[1.215, 0.495, 0.135, 0.375]",4.948717948717949,0.7368036550770576,0.2631963449229391
1.0,"[1.215, 0.495, 0.135, 0.375]",5.0,0.7366018893284872,0.2633981106715187
