height,radii list,wavelength,transmission,reflection
8.0,"[0.255, 0.855, 0.495, 0.495]",3.0,0.7442353994105948,0.25576460058932887
8.0,"[0.255, 0.855, 0.495, 0.495]",3.051282051282051,0.7424707089160304,0.2575292910839628
8.0,"[0.255, 0.855, 0.495, 0.495]",3.1025641025641026,0.7354979526595676,0.2645020473404429
8.0,"[0.255, 0.855, 0.495, 0.495]",3.1538461538461537,0.7263902760364895,0.27360972396351935
8.0,"[0.255, 0.855, 0.495, 0.495]",3.2051282051282053,0.7183720628366983,0.2816279371632429
8.0,"[0.255, 0.855, 0.495, 0.495]",3.2564102564102564,0.7130241799905404,0.28697582000942085
8.0,"[0.255, 0.855, 0.495, 0.495]",3.3076923076923075,0.7105312358438403,0.28946876415616024
8.0,"[0.255, 0.855, 0.495, 0.495]",3.358974358974359,0.710621582009944,0.28937841799005914
8.0,"[0.255, 0.855, 0.495, 0.495]",3.41025641025641,0.7130466059967676,0.2869533940033066
8.0,"[0.255, 0.855, 0.495, 0.495]",3.4615384615384617,0.7176642337693839,0.2823357662306194
8.0,"[0.255, 0.855, 0.495, 0.495]",3.5128205128205128,0.7237788952911791,0.2762211047089864
8.0,"[0.255, 0.855, 0.495, 0.495]",3.564102564102564,0.7296067513234239,0.2703932486766141
8.0,"[0.255, 0.855, 0.495, 0.495]",3.6153846153846154,0.7335924735617331,0.26640752643826837
8.0,"[0.255, 0.855, 0.495, 0.495]",3.6666666666666665,0.7351161161139964,0.26488388388600553
8.0,"[0.255, 0.855, 0.495, 0.495]",3.717948717948718,0.7339073275278638,0.26609267247228263
8.0,"[0.255, 0.855, 0.495, 0.495]",3.769230769230769,0.7297916642396975,0.2702083357602857
8.0,"[0.255, 0.855, 0.495, 0.495]",3.8205128205128203,0.7278076694991469,0.2721923305008708
8.0,"[0.255, 0.855, 0.495, 0.495]",3.871794871794872,0.7222407427111396,0.27775925728886147
8.0,"[0.255, 0.855, 0.495, 0.495]",3.923076923076923,0.7359028143274466,0.26409718567253904
8.0,"[0.255, 0.855, 0.495, 0.495]",3.9743589743589745,0.7119355731984705,0.2880644268015314
8.0,"[0.255, 0.855, 0.495, 0.495]",4.0256410256410255,0.7086813510687048,0.2913186489312926
8.0,"[0.255, 0.855, 0.495, 0.495]",4.076923076923077,0.7061952802405546,0.29380471975963274
8.0,"[0.255, 0.855, 0.495, 0.495]",4.128205128205128,0.7047957880543699,0.29520421194563007
8.0,"[0.255, 0.855, 0.495, 0.495]",4.17948717948718,0.7045637793701404,0.2954362206298575
8.0,"[0.255, 0.855, 0.495, 0.495]",4.230769230769231,0.7054521570982545,0.29454784290166813
8.0,"[0.255, 0.855, 0.495, 0.495]",4.282051282051282,0.7073210964034521,0.29267890359654364
8.0,"[0.255, 0.855, 0.495, 0.495]",4.333333333333333,0.7099631842797461,0.2900368157202546
8.0,"[0.255, 0.855, 0.495, 0.495]",4.384615384615385,0.7131189064390717,0.2868810935609278
8.0,"[0.255, 0.855, 0.495, 0.495]",4.435897435897436,0.7164921562937956,0.28350784370619714
8.0,"[0.255, 0.855, 0.495, 0.495]",4.487179487179487,0.719775244564732,0.2802247554352271
8.0,"[0.255, 0.855, 0.495, 0.495]",4.538461538461538,0.7226861713781071,0.27731382862189174
8.0,"[0.255, 0.855, 0.495, 0.495]",4.589743589743589,0.725004105743849,0.2749958942559966
8.0,"[0.255, 0.855, 0.495, 0.495]",4.6410256410256405,0.7265863929029875,0.27341360709717455
8.0,"[0.255, 0.855, 0.495, 0.495]",4.6923076923076925,0.7273699800867678,0.2726300199132446
8.0,"[0.255, 0.855, 0.495, 0.495]",4.743589743589744,0.7273566287015794,0.27264337129842137
8.0,"[0.255, 0.855, 0.495, 0.495]",4.794871794871795,0.7265981785084575,0.27340182149149655
8.0,"[0.255, 0.855, 0.495, 0.495]",4.846153846153846,0.7251814204425493,0.2748185795574625
8.0,"[0.255, 0.855, 0.495, 0.495]",4.897435897435898,0.7232146280837978,0.2767853719162002
8.0,"[0.255, 0.855, 0.495, 0.495]",4.948717948717949,0.7208174427463566,0.27918255725364566
8.0,"[0.255, 0.855, 0.495, 0.495]",5.0,0.7181176096794442,0.28188239032056167
