height,radii list,wavelength,transmission,reflection
7.0,"[0.855, 0.975, 0.255, 1.095]",3.0,0.7246409302172235,0.2753590697827734
7.0,"[0.855, 0.975, 0.255, 1.095]",3.051282051282051,0.7185076187259153,0.28149238127417586
7.0,"[0.855, 0.975, 0.255, 1.095]",3.1025641025641026,0.72168834827224,0.27831165172775446
7.0,"[0.855, 0.975, 0.255, 1.095]",3.1538461538461537,0.7326062359409554,0.26739376405903487
7.0,"[0.855, 0.975, 0.255, 1.095]",3.2051282051282053,0.7476176457426709,0.25238235425732897
7.0,"[0.855, 0.975, 0.255, 1.095]",3.2564102564102564,0.7624485969598278,0.23755140304017355
7.0,"[0.855, 0.975, 0.255, 1.095]",3.3076923076923075,0.7734363506070535,0.2265636493929448
7.0,"[0.855, 0.975, 0.255, 1.095]",3.358974358974359,0.7782634818643499,0.22173651813565265
7.0,"[0.855, 0.975, 0.255, 1.095]",3.41025641025641,0.7763485599643445,0.22365144003565507
7.0,"[0.855, 0.975, 0.255, 1.095]",3.4615384615384617,0.7689402174835807,0.23105978251641957
7.0,"[0.855, 0.975, 0.255, 1.095]",3.5128205128205128,0.7584449041144503,0.2415550958855541
7.0,"[0.855, 0.975, 0.255, 1.095]",3.564102564102564,0.7470932291992246,0.2529067708011278
7.0,"[0.855, 0.975, 0.255, 1.095]",3.6153846153846154,0.7364082501437514,0.2635917498562478
7.0,"[0.855, 0.975, 0.255, 1.095]",3.6666666666666665,0.7273504383945291,0.27264956160546927
7.0,"[0.855, 0.975, 0.255, 1.095]",3.717948717948718,0.7203579047774434,0.2796420952226183
7.0,"[0.855, 0.975, 0.255, 1.095]",3.769230769230769,0.7153340601964331,0.28466593980359134
7.0,"[0.855, 0.975, 0.255, 1.095]",3.8205128205128203,0.7347298294672373,0.26527017053280555
7.0,"[0.855, 0.975, 0.255, 1.095]",3.871794871794872,0.7227217506307958,0.27727824936900247
7.0,"[0.855, 0.975, 0.255, 1.095]",3.923076923076923,0.7272471149039685,0.27275288509601
7.0,"[0.855, 0.975, 0.255, 1.095]",3.9743589743589745,0.7336218137846479,0.26637818621534437
7.0,"[0.855, 0.975, 0.255, 1.095]",4.0256410256410255,0.7404506954185328,0.25954930458145825
7.0,"[0.855, 0.975, 0.255, 1.095]",4.076923076923077,0.7470125433665121,0.2529874566362771
7.0,"[0.855, 0.975, 0.255, 1.095]",4.128205128205128,0.753474989527183,0.24652501047281505
7.0,"[0.855, 0.975, 0.255, 1.095]",4.17948717948718,0.7596048931110007,0.24039510688900073
7.0,"[0.855, 0.975, 0.255, 1.095]",4.230769230769231,0.7642312339149581,0.2357687660850422
7.0,"[0.855, 0.975, 0.255, 1.095]",4.282051282051282,0.7668552770615553,0.23314472293838948
7.0,"[0.855, 0.975, 0.255, 1.095]",4.333333333333333,0.7672751871273481,0.23272481287265098
7.0,"[0.855, 0.975, 0.255, 1.095]",4.384615384615385,0.7655299221940305,0.2344700778057076
7.0,"[0.855, 0.975, 0.255, 1.095]",4.435897435897436,0.7618506075779414,0.2381493924220589
7.0,"[0.855, 0.975, 0.255, 1.095]",4.487179487179487,0.7565991940420703,0.24340080595792263
7.0,"[0.855, 0.975, 0.255, 1.095]",4.538461538461538,0.750208680487713,0.24979131951228598
7.0,"[0.855, 0.975, 0.255, 1.095]",4.589743589743589,0.7431327603401644,0.2568672396598369
7.0,"[0.855, 0.975, 0.255, 1.095]",4.6410256410256405,0.7358074547136876,0.26419254528631053
7.0,"[0.855, 0.975, 0.255, 1.095]",4.6923076923076925,0.7286284545226782,0.2713715454773223
7.0,"[0.855, 0.975, 0.255, 1.095]",4.743589743589744,0.721935194750695,0.2780648052493151
7.0,"[0.855, 0.975, 0.255, 1.095]",4.794871794871795,0.716000845552601,0.28399915444739826
7.0,"[0.855, 0.975, 0.255, 1.095]",4.846153846153846,0.7110260879850219,0.2889739120150339
7.0,"[0.855, 0.975, 0.255, 1.095]",4.897435897435898,0.7071370200606933,0.29286297993932636
7.0,"[0.855, 0.975, 0.255, 1.095]",4.948717948717949,0.7043886133761411,0.29561138662386227
7.0,"[0.855, 0.975, 0.255, 1.095]",5.0,0.7027744151312846,0.29722558486871686
