height,radii list,wavelength,transmission,reflection
10.0,"[0.615, 0.495, 0.615, 0.135]",3.0,0.7112345003928249,0.28876549960725956
10.0,"[0.615, 0.495, 0.615, 0.135]",3.051282051282051,0.7177445198135096,0.28225548018650365
10.0,"[0.615, 0.495, 0.615, 0.135]",3.1025641025641026,0.7247828345215149,0.2752171654784831
10.0,"[0.615, 0.495, 0.615, 0.135]",3.1538461538461537,0.7286688134100755,0.2713311865898479
10.0,"[0.615, 0.495, 0.615, 0.135]",3.2051282051282053,0.7276069687713836,0.27239303122868647
10.0,"[0.615, 0.495, 0.615, 0.135]",3.2564102564102564,0.7222971885618569,0.2777028114381435
10.0,"[0.615, 0.495, 0.615, 0.135]",3.3076923076923075,0.715057466748332,0.2849425332516644
10.0,"[0.615, 0.495, 0.615, 0.135]",3.358974358974359,0.7087082498757709,0.29129175012432146
10.0,"[0.615, 0.495, 0.615, 0.135]",3.41025641025641,0.7051899833593887,0.29481001664058004
10.0,"[0.615, 0.495, 0.615, 0.135]",3.4615384615384617,0.7049130964483624,0.29508690355163586
10.0,"[0.615, 0.495, 0.615, 0.135]",3.5128205128205128,0.7074897130676435,0.29251028693235764
10.0,"[0.615, 0.495, 0.615, 0.135]",3.564102564102564,0.7120243873926343,0.28797561260678056
10.0,"[0.615, 0.495, 0.615, 0.135]",3.6153846153846154,0.7173310496368102,0.2826689503631887
10.0,"[0.615, 0.495, 0.615, 0.135]",3.6666666666666665,0.7219288726447841,0.27807112735521694
10.0,"[0.615, 0.495, 0.615, 0.135]",3.717948717948718,0.7242549282304509,0.2757450717694118
10.0,"[0.615, 0.495, 0.615, 0.135]",3.769230769230769,0.7237889925165131,0.2762110074833978
10.0,"[0.615, 0.495, 0.615, 0.135]",3.8205128205128203,0.7208512705923223,0.2791487294076724
10.0,"[0.615, 0.495, 0.615, 0.135]",3.871794871794872,0.7167848384229045,0.28321516157709564
10.0,"[0.615, 0.495, 0.615, 0.135]",3.923076923076923,0.7122863544581469,0.28771364554199497
10.0,"[0.615, 0.495, 0.615, 0.135]",3.9743589743589745,0.7071823522903506,0.2928176477096633
10.0,"[0.615, 0.495, 0.615, 0.135]",4.0256410256410255,0.7036084895439715,0.2963915104560289
10.0,"[0.615, 0.495, 0.615, 0.135]",4.076923076923077,0.7015602879271934,0.29843971207280345
10.0,"[0.615, 0.495, 0.615, 0.135]",4.128205128205128,0.7011990537646201,0.29880094623524445
10.0,"[0.615, 0.495, 0.615, 0.135]",4.17948717948718,0.7023891437079691,0.29761085629207157
10.0,"[0.615, 0.495, 0.615, 0.135]",4.230769230769231,0.7047923075966326,0.29520769240336875
10.0,"[0.615, 0.495, 0.615, 0.135]",4.282051282051282,0.7079596998692987,0.29204030013072774
10.0,"[0.615, 0.495, 0.615, 0.135]",4.333333333333333,0.7114209544790789,0.28857904552092256
10.0,"[0.615, 0.495, 0.615, 0.135]",4.384615384615385,0.7147394939360883,0.28526050606390896
10.0,"[0.615, 0.495, 0.615, 0.135]",4.435897435897436,0.7175468316420014,0.2824531683579978
10.0,"[0.615, 0.495, 0.615, 0.135]",4.487179487179487,0.7195650168929049,0.2804349831070952
10.0,"[0.615, 0.495, 0.615, 0.135]",4.538461538461538,0.7206237673008271,0.2793762326991718
10.0,"[0.615, 0.495, 0.615, 0.135]",4.589743589743589,0.7206693460607196,0.2793306539392968
10.0,"[0.615, 0.495, 0.615, 0.135]",4.6410256410256405,0.7197600623882188,0.28023993761163046
10.0,"[0.615, 0.495, 0.615, 0.135]",4.6923076923076925,0.7180512875831415,0.28194871241633884
10.0,"[0.615, 0.495, 0.615, 0.135]",4.743589743589744,0.7157592250380901,0.28424077496172434
10.0,"[0.615, 0.495, 0.615, 0.135]",4.794871794871795,0.7131230788097991,0.2868769211901552
10.0,"[0.615, 0.495, 0.615, 0.135]",4.846153846153846,0.7103746296278807,0.28962537037212605
10.0,"[0.615, 0.495, 0.615, 0.135]",4.897435897435898,0.7077236908900598,0.292276309109966
10.0,"[0.615, 0.495, 0.615, 0.135]",4.948717948717949,0.7053517733440632,0.2946482266574248
10.0,"[0.615, 0.495, 0.615, 0.135]",5.0,0.7034033096588278,0.2965966903410952
