height,radii list,wavelength,transmission,reflection,fitness
4.0,"[1.095, 0.375, 0.375, 0.255]",3.0,0.7142361880517938,0.28576381194844014,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",3.051282051282051,0.7206041380794926,0.2793958619205058,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",3.1025641025641026,0.72790549863715,0.2720945013628678,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",3.1538461538461537,0.7353265574057631,0.2646734425942499,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",3.2051282051282053,0.7420954315777774,0.25790456842221143,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",3.2564102564102564,0.7475724280162622,0.2524275719837464,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",3.3076923076923075,0.7513207426661578,0.24867925733384239,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",3.358974358974359,0.7531447150630002,0.24685528493713824,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",3.41025641025641,0.7530833736753665,0.2469166263246368,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",3.4615384615384617,0.7513579482054717,0.24864205179431415,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",3.5128205128205128,0.7482943825391289,0.25170561746086306,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",3.564102564102564,0.7442499499989685,0.2557500500012704,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",3.6153846153846154,0.7395674966538045,0.26043250334619433,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",3.6666666666666665,0.734557734582775,0.26544226541722576,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",3.717948717948718,0.7295226970126515,0.2704773029873458,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",3.769230769230769,0.724976382184431,0.27502361781557055,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",3.8205128205128203,0.7405198781831523,0.2594801218168481,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",3.871794871794872,0.7140538972734706,0.2859461027265289,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",3.923076923076923,0.7088404845740742,0.2911595154259345,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",3.9743589743589745,0.7060761758631828,0.2939238241366063,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",4.0256410256410255,0.7042766467212045,0.29572335327877824,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",4.076923076923077,0.7031740620927528,0.2968259379072488,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",4.128205128205128,0.7027162765889768,0.2972837234110209,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",4.17948717948718,0.702862499305355,0.29713750069464906,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",4.230769230769231,0.7035509818447702,0.2964490181552294,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",4.282051282051282,0.704700001074235,0.29529999892575737,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",4.333333333333333,0.7062161121336386,0.2937838878663195,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",4.384615384615385,0.7080018605983414,0.29199813940165636,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",4.435897435897436,0.7099656806822497,0.2900343193177513,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",4.487179487179487,0.7120233185474083,0.2879766814527152,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",4.538461538461538,0.7141031535867637,0.28589684641323804,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",4.589743589743589,0.7161472624261797,0.28385273757382007,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",4.6410256410256405,0.7181096945222794,0.281890305477718,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",4.6923076923076925,0.7199562315877989,0.2800437684122009,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",4.743589743589744,0.721662360543008,0.27833763945698814,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",4.794871794871795,0.7232113251439087,0.27678867485609154,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",4.846153846153846,0.7245921729101101,0.2754078270898943,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",4.897435897435898,0.7257979379219229,0.27420206207826575,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",4.948717948717949,0.7268239704531496,0.27317602954685166,1.375
4.0,"[1.095, 0.375, 0.375, 0.255]",5.0,0.7276663418960125,0.272333658103954,1.375
10.0,"[0.18933, 1.13053, 1.215, 0.96831]",3.0,0.7724389485593223,0.22756105144067607,2.215
10.0,"[0.18933, 1.13053, 1.215, 0.96831]",3.051282051282051,0.7549138577706741,0.24508614223021427,2.215
10.0,"[0.18933, 1.13053, 1.215, 0.96831]",3.1025641025641026,0.7282358110743524,0.2717641889255634,2.215
10.0,"[0.18933, 1.13053, 1.215, 0.96831]",3.1538461538461537,0.708161353595792,0.29183864640421225,2.215
10.0,"[0.18933, 1.13053, 1.215, 0.96831]",3.2051282051282053,0.7041787693129152,0.29582123068707356,2.215
10.0,"[0.18933, 1.13053, 1.215, 0.96831]",3.2564102564102564,0.7187367360488418,0.2812632639511779,2.215
10.0,"[0.18933, 1.13053, 1.215, 0.96831]",3.3076923076923075,0.7456372162798593,0.2543627837201237,2.215
10.0,"[0.18933, 1.13053, 1.215, 0.96831]",3.358974358974359,0.7719313679833739,0.2280686320166185,2.215
10.0,"[0.18933, 1.13053, 1.215, 0.96831]",3.41025641025641,0.7849516660947814,0.21504833390521808,2.215
