height,radii list,wavelength,transmission,reflection,fitness
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",3.0,0.712874525293805,0.2871254747062009,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",3.051282051282051,0.7101845577964624,0.2898154422035387,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",3.1025641025641026,0.7077473300944702,0.292252669905337,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",3.1538461538461537,0.7056296573712716,0.2943703426287327,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",3.2051282051282053,0.7038661285602907,0.29613387143970693,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",3.2564102564102564,0.7024659743326178,0.29753402566831944,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",3.3076923076923075,0.7014238445390597,0.2985761554609383,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",3.358974358974359,0.700727002868642,0.29927299713135386,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",3.41025641025641,0.7003597351088904,0.2996402648909734,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",3.4615384615384617,0.7003062037833114,0.2996937962166988,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",3.5128205128205128,0.7005535619935611,0.2994464380064409,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",3.564102564102564,0.7010948461793083,0.2989051538206893,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",3.6153846153846154,0.7019354145891699,0.29806458541082537,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",3.6666666666666665,0.7031066685103223,0.2968933314893871,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",3.717948717948718,0.7047142660827791,0.295285733917533,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",3.769230769230769,0.7071413078964912,0.2928586921035088,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",3.8205128205128203,0.7146316297464288,0.28536837025356343,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",3.871794871794872,0.7123392551808145,0.28766074481918363,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",3.923076923076923,0.713302393731598,0.28669760626840696,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",3.9743589743589745,0.7147085293582572,0.2852914706417363,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",4.0256410256410255,0.7161986603105555,0.2838013396894447,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",4.076923076923077,0.7177197712136407,0.2822802287863538,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",4.128205128205128,0.719280292741135,0.2807197072588573,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",4.17948717948718,0.7208871889548532,0.2791128110451506,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",4.230769230769231,0.7225435130764413,0.27745648692355934,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",4.282051282051282,0.7242438498015685,0.27575615019843425,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",4.333333333333333,0.7259815417455627,0.27401845825442706,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",4.384615384615385,0.7277494232774683,0.2722505767225307,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",4.435897435897436,0.7295409880231181,0.27045901197687106,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",4.487179487179487,0.731349690509965,0.26865030949002044,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",4.538461538461538,0.7331712466312155,0.26682875336877987,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",4.589743589743589,0.7350019075137112,0.2649980924862924,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",4.6410256410256405,0.7368377854863242,0.26316221451368044,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",4.6923076923076925,0.7386776520823038,0.2613223479177007,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",4.743589743589744,0.7405205054418457,0.25947949455814395,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",4.794871794871795,0.742366559461,0.2576334405389948,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",4.846153846153846,0.7442174983749382,0.25578250162507676,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",4.897435897435898,0.746076718707343,0.2539232812926474,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",4.948717948717949,0.7479497890630894,0.25205021093691266,44.86
1.50334,"[0.91814, 0.25825, 1.215, 1.11782]",5.0,0.7498452049942177,0.2501547950057828,44.86
1.55717,"[0.91801, 0.16095, 1.215, 1.1438]",3.0,0.7199866605494911,0.2800133394505108,44.86
1.55717,"[0.91801, 0.16095, 1.215, 1.1438]",3.051282051282051,0.7163431238530851,0.28365687614692214,44.86
1.55717,"[0.91801, 0.16095, 1.215, 1.1438]",3.1025641025641026,0.712954201633808,0.28704579836618815,44.86
1.55717,"[0.91801, 0.16095, 1.215, 1.1438]",3.1538461538461537,0.7098838892976232,0.2901161107023722,44.86
1.55717,"[0.91801, 0.16095, 1.215, 1.1438]",3.2051282051282053,0.707175804137843,0.2928241958621545,44.86
1.55717,"[0.91801, 0.16095, 1.215, 1.1438]",3.2564102564102564,0.70484920005964,0.295150799941551,44.86
